task_id,required_skill,min_proficiency,importance_weight,is_mandatory
T136,Agile Methodologies,5,8,No
T080,Data Analysis,5,8,Yes
T167,Communication,6,10,No
T037,CI/CD,6,9,Yes
T087,Deep Learning,4,6,Yes
T133,Kubernetes,5,8,Yes
T169,iOS Development,7,6,Yes
T143,Machine Learning,5,9,No
T037,Go,5,8,No
T052,Deep Learning,7,10,Yes
T101,Agile Methodologies,7,9,No
T103,Node.js,5,7,No
T041,Data Analysis,7,7,No
T159,Leadership,7,6,No
T094,Communication,5,7,Yes
T082,NLP,6,6,Yes
T105,UI/UX Design,7,7,Yes
T060,Deep Learning,7,6,No
T041,Go,5,10,No
T044,Security,5,7,No
T055,Leadership,6,7,No
T193,JavaScript,5,6,No
T036,Database Design,6,5,Yes
T042,Payment Systems,5,7,Yes
T112,Java,5,5,Yes
T040,Payment Systems,5,7,Yes
T199,UI/UX Design,5,8,No
T107,Big Data,5,5,Yes
T193,Testing,6,7,No
